sample	Round	Cage	Mouse	Day	treatment	diet	mouse_id	id	paper_id
ZEA_2	2	X	10	-1	salmonella	chow	2_X_10	2_X_10_-1	NA
BIA_2	2	X	10	1	salmonella	chow	2_X_10	2_X_10_1	NA
PJA_2	2	X	10	2	salmonella	chow	2_X_10	2_X_10_2	NA
DLA_2	2	X	10	3	salmonella	chow	2_X_10	2_X_10_3	NA
RMA_2	2	X	10	4	salmonella	chow	2_X_10	2_X_10_4	NA
FOA_2	2	X	10	5	salmonella	chow	2_X_10	2_X_10_5	NA
TPA_2	2	X	10	6	salmonella	chow	2_X_10	2_X_10_6	NA
HRA_2	2	X	10	7	salmonella	chow	2_X_10	2_X_10_7	NA
VSA_2	2	X	10	8	salmonella	chow	2_X_10	2_X_10_8	NA
JUA_2	2	X	10	9	salmonella	chow	2_X_10	2_X_10_9	NA
XVA_2	2	X	10	10	salmonella	chow	2_X_10	2_X_10_10	NA
LXA_2	2	X	10	11	salmonella	chow	2_X_10	2_X_10_11	NA
NAB_2	2	X	10	13	salmonella	chow	2_X_10	2_X_10_13	NA
BCB_2	2	X	10	14	salmonella	chow	2_X_10	2_X_10_14	NA
YBA_2	2	X	11	-3	salmonella	chow	2_X_11	2_X_11_-3	NA
MDA_2	2	X	11	-2	salmonella	chow	2_X_11	2_X_11_-2	NA
AFA_2	2	X	11	-1	salmonella	chow	2_X_11	2_X_11_-1	NA
CIA_2	2	X	11	1	salmonella	chow	2_X_11	2_X_11_1	NA
QJA_2	2	X	11	2	salmonella	chow	2_X_11	2_X_11_2	NA
ELA_2	2	X	11	3	salmonella	chow	2_X_11	2_X_11_3	NA
SMA_2	2	X	11	4	salmonella	chow	2_X_11	2_X_11_4	NA
GOA_2	2	X	11	5	salmonella	chow	2_X_11	2_X_11_5	NA
UPA_2	2	X	11	6	salmonella	chow	2_X_11	2_X_11_6	NA
IRA_2	2	X	11	7	salmonella	chow	2_X_11	2_X_11_7	NA
WSA_2	2	X	11	8	salmonella	chow	2_X_11	2_X_11_8	NA
KUA_2	2	X	11	9	salmonella	chow	2_X_11	2_X_11_9	NA
YVA_2	2	X	11	10	salmonella	chow	2_X_11	2_X_11_10	NA
MXA_2	2	X	11	11	salmonella	chow	2_X_11	2_X_11_11	NA
AZA_2	2	X	11	12	salmonella	chow	2_X_11	2_X_11_12	NA
OAB_2	2	X	11	13	salmonella	chow	2_X_11	2_X_11_13	NA
CCB_2	2	X	11	14	salmonella	chow	2_X_11	2_X_11_14	NA
QDB_2	2	X	11	15	salmonella	chow	2_X_11	2_X_11_15	NA
CCA_2	2	X	15	-3	salmonella	chow	2_X_15	2_X_15_-3	NA
QDA_2	2	X	15	-2	salmonella	chow	2_X_15	2_X_15_-2	NA
EFA_2	2	X	15	-1	salmonella	chow	2_X_15	2_X_15_-1	NA
GIA_2	2	X	15	1	salmonella	chow	2_X_15	2_X_15_1	NA
UJA_2	2	X	15	2	salmonella	chow	2_X_15	2_X_15_2	NA
ILA_2	2	X	15	3	salmonella	chow	2_X_15	2_X_15_3	NA
WMA_2	2	X	15	4	salmonella	chow	2_X_15	2_X_15_4	NA
KOA_2	2	X	15	5	salmonella	chow	2_X_15	2_X_15_5	NA
YPA_2	2	X	15	6	salmonella	chow	2_X_15	2_X_15_6	NA
MRA_2	2	X	15	7	salmonella	chow	2_X_15	2_X_15_7	NA
ATA_2	2	X	15	8	salmonella	chow	2_X_15	2_X_15_8	NA
OUA_2	2	X	15	9	salmonella	chow	2_X_15	2_X_15_9	NA
CWA_2	2	X	15	10	salmonella	chow	2_X_15	2_X_15_10	NA
QXA_2	2	X	15	11	salmonella	chow	2_X_15	2_X_15_11	NA
EZA_2	2	X	15	12	salmonella	chow	2_X_15	2_X_15_12	NA
SAB_2	2	X	15	13	salmonella	chow	2_X_15	2_X_15_13	NA
GCB_2	2	X	15	14	salmonella	chow	2_X_15	2_X_15_14	NA
UDB_2	2	X	15	15	salmonella	chow	2_X_15	2_X_15_15	NA
FCA_2	2	X	18	-3	salmonella	chow	2_X_18	2_X_18_-3	NA
TDA_2	2	X	18	-2	salmonella	chow	2_X_18	2_X_18_-2	NA
HFA_2	2	X	18	-1	salmonella	chow	2_X_18	2_X_18_-1	NA
JIA_2	2	X	18	1	salmonella	chow	2_X_18	2_X_18_1	NA
XJA_2	2	X	18	2	salmonella	chow	2_X_18	2_X_18_2	NA
LLA_2	2	X	18	3	salmonella	chow	2_X_18	2_X_18_3	NA
ZMA_2	2	X	18	4	salmonella	chow	2_X_18	2_X_18_4	NA
NOA_2	2	X	18	5	salmonella	chow	2_X_18	2_X_18_5	NA
BQA_2	2	X	18	6	salmonella	chow	2_X_18	2_X_18_6	NA
PRA_2	2	X	18	7	salmonella	chow	2_X_18	2_X_18_7	NA
DTA_2	2	X	18	8	salmonella	chow	2_X_18	2_X_18_8	NA
RUA_2	2	X	18	9	salmonella	chow	2_X_18	2_X_18_9	NA
FWA_2	2	X	18	10	salmonella	chow	2_X_18	2_X_18_10	NA
TXA_2	2	X	18	11	salmonella	chow	2_X_18	2_X_18_11	NA
HZA_2	2	X	18	12	salmonella	chow	2_X_18	2_X_18_12	NA
VAB_2	2	X	18	13	salmonella	chow	2_X_18	2_X_18_13	NA
JCB_2	2	X	18	14	salmonella	chow	2_X_18	2_X_18_14	NA
XDB_2	2	X	18	15	salmonella	chow	2_X_18	2_X_18_15	NA
HCA_2	2	X	20	-3	salmonella	chow	2_X_20	2_X_20_-3	NA
VDA_2	2	X	20	-2	salmonella	chow	2_X_20	2_X_20_-2	NA
JFA_2	2	X	20	-1	salmonella	chow	2_X_20	2_X_20_-1	NA
LIA_2	2	X	20	1	salmonella	chow	2_X_20	2_X_20_1	NA
ZJA_2	2	X	20	2	salmonella	chow	2_X_20	2_X_20_2	NA
NLA_2	2	X	20	3	salmonella	chow	2_X_20	2_X_20_3	NA
BNA_2	2	X	20	4	salmonella	chow	2_X_20	2_X_20_4	NA
POA_2	2	X	20	5	salmonella	chow	2_X_20	2_X_20_5	NA
DQA_2	2	X	20	6	salmonella	chow	2_X_20	2_X_20_6	NA
RRA_2	2	X	20	7	salmonella	chow	2_X_20	2_X_20_7	NA
FTA_2	2	X	20	8	salmonella	chow	2_X_20	2_X_20_8	NA
TUA_2	2	X	20	9	salmonella	chow	2_X_20	2_X_20_9	NA
HWA_2	2	X	20	10	salmonella	chow	2_X_20	2_X_20_10	NA
VXA_2	2	X	20	11	salmonella	chow	2_X_20	2_X_20_11	NA
JZA_2	2	X	20	12	salmonella	chow	2_X_20	2_X_20_12	NA
XAB_2	2	X	20	13	salmonella	chow	2_X_20	2_X_20_13	NA
LCB_2	2	X	20	14	salmonella	chow	2_X_20	2_X_20_14	NA
ZDB_2	2	X	20	15	salmonella	chow	2_X_20	2_X_20_15	NA
4_1_1_-3_M	4	1	1	-3	salmonella	chow	4_1_1	4_1_1_-3	NA
4_2_4_-3_M	4	2	4	-3	salmonella	chow	4_2_4	4_2_4_-3	NA
4_4_2_-3_M	4	4	2	-3	salmonella	chow	4_4_2	4_4_2_-3	NA
4_1_5_-2_M	4	1	5	-2	salmonella	chow	4_1_5	4_1_5_-2	NA
4_3_3_-2_M	4	3	3	-2	salmonella	chow	4_3_3	4_3_3_-2	NA
4_1_1_-1_M	4	1	1	-1	salmonella	chow	4_1_1	4_1_1_-1	NA
4_2_4_-1_M	4	2	4	-1	salmonella	chow	4_2_4	4_2_4_-1	NA
4_4_2_-1_M	4	4	2	-1	salmonella	chow	4_4_2	4_4_2_-1	NA
4_1_5_1_M	4	1	5	1	salmonella	chow	4_1_5	4_1_5_1	NA
4_3_3_1_M	4	3	3	1	salmonella	chow	4_3_3	4_3_3_1	NA
4_1_1_2_M	4	1	1	2	salmonella	chow	4_1_1	4_1_1_2	NA
4_2_4_2_M	4	2	4	2	salmonella	chow	4_2_4	4_2_4_2	NA
4_1_2_-3_M	4	1	2	-3	salmonella	chow	4_1_2	4_1_2_-3	NA
4_2_5_-3_M	4	2	5	-3	salmonella	chow	4_2_5	4_2_5_-3	NA
4_4_3_-3_M	4	4	3	-3	salmonella	chow	4_4_3	4_4_3_-3	NA
4_2_1_-2_M	4	2	1	-2	salmonella	chow	4_2_1	4_2_1_-2	NA
4_3_4_-2_M	4	3	4	-2	salmonella	chow	4_3_4	4_3_4_-2	NA
4_1_2_-1_M	4	1	2	-1	salmonella	chow	4_1_2	4_1_2_-1	NA
4_2_5_-1_M	4	2	5	-1	salmonella	chow	4_2_5	4_2_5_-1	NA
4_4_3_-1_M	4	4	3	-1	salmonella	chow	4_4_3	4_4_3_-1	NA
4_2_1_1_M	4	2	1	1	salmonella	chow	4_2_1	4_2_1_1	NA
4_3_4_1_M	4	3	4	1	salmonella	chow	4_3_4	4_3_4_1	NA
4_1_2_2_M	4	1	2	2	salmonella	chow	4_1_2	4_1_2_2	NA
4_2_5_2_M	4	2	5	2	salmonella	chow	4_2_5	4_2_5_2	NA
4_1_3_-3_M	4	1	3	-3	salmonella	chow	4_1_3	4_1_3_-3	NA
4_3_1_-3_M	4	3	1	-3	salmonella	chow	4_3_1	4_3_1_-3	NA
4_4_4_-3_M	4	4	4	-3	salmonella	chow	4_4_4	4_4_4_-3	NA
4_2_2_-2_M	4	2	2	-2	salmonella	chow	4_2_2	4_2_2_-2	NA
4_3_5_-2_M	4	3	5	-2	salmonella	chow	4_3_5	4_3_5_-2	NA
4_1_3_-1_M	4	1	3	-1	salmonella	chow	4_1_3	4_1_3_-1	NA
4_3_1_-1_M	4	3	1	-1	salmonella	chow	4_3_1	4_3_1_-1	NA
4_4_4_-1_M	4	4	4	-1	salmonella	chow	4_4_4	4_4_4_-1	NA
4_2_2_1_M	4	2	2	1	salmonella	chow	4_2_2	4_2_2_1	NA
4_3_5_1_M	4	3	5	1	salmonella	chow	4_3_5	4_3_5_1	NA
4_1_3_2_M	4	1	3	2	salmonella	chow	4_1_3	4_1_3_2	NA
4_3_1_2_M	4	3	1	2	salmonella	chow	4_3_1	4_3_1_2	NA
4_1_4_-3_M	4	1	4	-3	salmonella	chow	4_1_4	4_1_4_-3	NA
4_3_2_-3_M	4	3	2	-3	salmonella	chow	4_3_2	4_3_2_-3	NA
4_4_5_-3_M	4	4	5	-3	salmonella	chow	4_4_5	4_4_5_-3	NA
4_2_3_-2_M	4	2	3	-2	salmonella	chow	4_2_3	4_2_3_-2	NA
4_4_1_-2_M	4	4	1	-2	salmonella	chow	4_4_1	4_4_1_-2	NA
4_1_4_-1_M	4	1	4	-1	salmonella	chow	4_1_4	4_1_4_-1	NA
4_3_2_-1_M	4	3	2	-1	salmonella	chow	4_3_2	4_3_2_-1	NA
4_4_5_-1_M	4	4	5	-1	salmonella	chow	4_4_5	4_4_5_-1	NA
4_2_3_1_M	4	2	3	1	salmonella	chow	4_2_3	4_2_3_1	NA
4_4_1_1_M	4	4	1	1	salmonella	chow	4_4_1	4_4_1_1	NA
4_1_4_2_M	4	1	4	2	salmonella	chow	4_1_4	4_1_4_2	NA
4_3_2_2_M	4	3	2	2	salmonella	chow	4_3_2	4_3_2_2	NA
4_1_5_-3_M	4	1	5	-3	salmonella	chow	4_1_5	4_1_5_-3	NA
4_3_3_-3_M	4	3	3	-3	salmonella	chow	4_3_3	4_3_3_-3	NA
4_1_1_-2_M	4	1	1	-2	salmonella	chow	4_1_1	4_1_1_-2	NA
4_2_4_-2_M	4	2	4	-2	salmonella	chow	4_2_4	4_2_4_-2	NA
4_4_2_-2_M	4	4	2	-2	salmonella	chow	4_4_2	4_4_2_-2	NA
4_1_5_-1_M	4	1	5	-1	salmonella	chow	4_1_5	4_1_5_-1	NA
4_3_3_-1_M	4	3	3	-1	salmonella	chow	4_3_3	4_3_3_-1	NA
4_1_1_1_M	4	1	1	1	salmonella	chow	4_1_1	4_1_1_1	NA
4_2_4_1_M	4	2	4	1	salmonella	chow	4_2_4	4_2_4_1	NA
4_4_2_1_M	4	4	2	1	salmonella	chow	4_4_2	4_4_2_1	NA
4_1_5_2_M	4	1	5	2	salmonella	chow	4_1_5	4_1_5_2	NA
4_3_3_2_M	4	3	3	2	salmonella	chow	4_3_3	4_3_3_2	NA
4_2_1_-3_M	4	2	1	-3	salmonella	chow	4_2_1	4_2_1_-3	NA
4_3_4_-3_M	4	3	4	-3	salmonella	chow	4_3_4	4_3_4_-3	NA
4_1_2_-2_M	4	1	2	-2	salmonella	chow	4_1_2	4_1_2_-2	NA
4_2_5_-2_M	4	2	5	-2	salmonella	chow	4_2_5	4_2_5_-2	NA
4_4_3_-2_M	4	4	3	-2	salmonella	chow	4_4_3	4_4_3_-2	NA
4_3_4_-1_M	4	3	4	-1	salmonella	chow	4_3_4	4_3_4_-1	NA
4_1_2_1_M	4	1	2	1	salmonella	chow	4_1_2	4_1_2_1	NA
4_2_5_1_M	4	2	5	1	salmonella	chow	4_2_5	4_2_5_1	NA
4_4_3_1_M	4	4	3	1	salmonella	chow	4_4_3	4_4_3_1	NA
4_2_1_2_M	4	2	1	2	salmonella	chow	4_2_1	4_2_1_2	NA
4_3_4_2_M	4	3	4	2	salmonella	chow	4_3_4	4_3_4_2	NA
4_2_2_-3_M	4	2	2	-3	salmonella	chow	4_2_2	4_2_2_-3	NA
4_3_5_-3_M	4	3	5	-3	salmonella	chow	4_3_5	4_3_5_-3	NA
4_1_3_-2_M	4	1	3	-2	salmonella	chow	4_1_3	4_1_3_-2	NA
4_3_1_-2_M	4	3	1	-2	salmonella	chow	4_3_1	4_3_1_-2	NA
4_4_4_-2_M	4	4	4	-2	salmonella	chow	4_4_4	4_4_4_-2	NA
4_2_2_-1_M	4	2	2	-1	salmonella	chow	4_2_2	4_2_2_-1	NA
4_3_5_-1_M	4	3	5	-1	salmonella	chow	4_3_5	4_3_5_-1	NA
4_1_3_1_M	4	1	3	1	salmonella	chow	4_1_3	4_1_3_1	NA
4_3_1_1_M	4	3	1	1	salmonella	chow	4_3_1	4_3_1_1	NA
4_4_4_1_M	4	4	4	1	salmonella	chow	4_4_4	4_4_4_1	NA
4_2_2_2_M	4	2	2	2	salmonella	chow	4_2_2	4_2_2_2	NA
4_3_5_2_M	4	3	5	2	salmonella	chow	4_3_5	4_3_5_2	NA
4_2_3_-3_M	4	2	3	-3	salmonella	chow	4_2_3	4_2_3_-3	NA
4_4_1_-3_M	4	4	1	-3	salmonella	chow	4_4_1	4_4_1_-3	NA
4_1_4_-2_M	4	1	4	-2	salmonella	chow	4_1_4	4_1_4_-2	NA
4_3_2_-2_M	4	3	2	-2	salmonella	chow	4_3_2	4_3_2_-2	NA
4_4_5_-2_M	4	4	5	-2	salmonella	chow	4_4_5	4_4_5_-2	NA
4_2_3_-1_M	4	2	3	-1	salmonella	chow	4_2_3	4_2_3_-1	NA
4_4_1_-1_M	4	4	1	-1	salmonella	chow	4_4_1	4_4_1_-1	NA
4_1_4_1_M	4	1	4	1	salmonella	chow	4_1_4	4_1_4_1	NA
4_3_2_1_M	4	3	2	1	salmonella	chow	4_3_2	4_3_2_1	NA
4_4_5_1_M	4	4	5	1	salmonella	chow	4_4_5	4_4_5_1	NA
4_2_3_2_M	4	2	3	2	salmonella	chow	4_2_3	4_2_3_2	NA
4_4_1_2_M	4	4	1	2	salmonella	chow	4_4_1	4_4_1_2	NA
4_1_4_3_M	4	1	4	3	salmonella	chow	4_1_4	4_1_4_3	NA
4_3_2_3_M	4	3	2	3	salmonella	chow	4_3_2	4_3_2_3	NA
4_4_5_3_M	4	4	5	3	salmonella	chow	4_4_5	4_4_5_3	NA
4_2_3_4_M	4	2	3	4	salmonella	chow	4_2_3	4_2_3_4	NA
4_4_1_4_M	4	4	1	4	salmonella	chow	4_4_1	4_4_1_4	NA
4_1_4_5_M	4	1	4	5	salmonella	chow	4_1_4	4_1_4_5	NA
4_3_2_5_M	4	3	2	5	salmonella	chow	4_3_2	4_3_2_5	NA
4_1_4_6_M	4	1	4	6	salmonella	chow	4_1_4	4_1_4_6	NA
4_3_2_6_M	4	3	2	6	salmonella	chow	4_3_2	4_3_2_6	NA
4_4_5_6_M	4	4	5	6	salmonella	chow	4_4_5	4_4_5_6	NA
4_2_3_7_M	4	2	3	7	salmonella	chow	4_2_3	4_2_3_7	NA
4_4_2_2_M	4	4	2	2	salmonella	chow	4_4_2	4_4_2_2	NA
4_1_5_3_M	4	1	5	3	salmonella	chow	4_1_5	4_1_5_3	NA
4_3_3_3_M	4	3	3	3	salmonella	chow	4_3_3	4_3_3_3	NA
4_1_1_4_M	4	1	1	4	salmonella	chow	4_1_1	4_1_1_4	NA
4_2_4_4_M	4	2	4	4	salmonella	chow	4_2_4	4_2_4_4	NA
4_4_2_4_M	4	4	2	4	salmonella	chow	4_4_2	4_4_2_4	NA
4_1_3_5_M	4	1	3	5	salmonella	chow	4_1_3	4_1_3_5	NA
4_3_3_5_M	4	3	3	5	salmonella	chow	4_3_3	4_3_3_5	NA
4_1_5_6_M	4	1	5	6	salmonella	chow	4_1_5	4_1_5_6	NA
4_3_3_6_M	4	3	3	6	salmonella	chow	4_3_3	4_3_3_6	NA
4_1_1_7_M	4	1	1	7	salmonella	chow	4_1_1	4_1_1_7	NA
4_2_4_7_M	4	2	4	7	salmonella	chow	4_2_4	4_2_4_7	NA
4_4_3_2_M	4	4	3	2	salmonella	chow	4_4_3	4_4_3_2	NA
4_2_1_3_M	4	2	1	3	salmonella	chow	4_2_1	4_2_1_3	NA
4_3_4_3_M	4	3	4	3	salmonella	chow	4_3_4	4_3_4_3	NA
4_1_2_4_M	4	1	2	4	salmonella	chow	4_1_2	4_1_2_4	NA
4_2_5_4_M	4	2	5	4	salmonella	chow	4_2_5	4_2_5_4	NA
4_4_3_4_M	4	4	3	4	salmonella	chow	4_4_3	4_4_3_4	NA
4_2_1_5_M	4	2	1	5	salmonella	chow	4_2_1	4_2_1_5	NA
4_3_4_5_M	4	3	4	5	salmonella	chow	4_3_4	4_3_4_5	NA
4_2_1_6_M	4	2	1	6	salmonella	chow	4_2_1	4_2_1_6	NA
4_3_4_6_M	4	3	4	6	salmonella	chow	4_3_4	4_3_4_6	NA
4_1_2_7_M	4	1	2	7	salmonella	chow	4_1_2	4_1_2_7	NA
4_2_5_7_M	4	2	5	7	salmonella	chow	4_2_5	4_2_5_7	NA
4_4_4_2_M	4	4	4	2	salmonella	chow	4_4_4	4_4_4_2	NA
4_2_2_3_M	4	2	2	3	salmonella	chow	4_2_2	4_2_2_3	NA
4_3_5_3_M	4	3	5	3	salmonella	chow	4_3_5	4_3_5_3	NA
4_1_3_4_M	4	1	3	4	salmonella	chow	4_1_3	4_1_3_4	NA
4_3_1_4_M	4	3	1	4	salmonella	chow	4_3_1	4_3_1_4	NA
4_4_4_4_M	4	4	4	4	salmonella	chow	4_4_4	4_4_4_4	NA
4_2_2_5_M	4	2	2	5	salmonella	chow	4_2_2	4_2_2_5	NA
4_3_5_5_M	4	3	5	5	salmonella	chow	4_3_5	4_3_5_5	NA
4_2_2_6_M	4	2	2	6	salmonella	chow	4_2_2	4_2_2_6	NA
4_3_5_6_M	4	3	5	6	salmonella	chow	4_3_5	4_3_5_6	NA
4_1_3_7_M	4	1	3	7	salmonella	chow	4_1_3	4_1_3_7	NA
4_3_1_7_M	4	3	1	7	salmonella	chow	4_3_1	4_3_1_7	NA
4_4_5_2_M	4	4	5	2	salmonella	chow	4_4_5	4_4_5_2	NA
4_2_3_3_M	4	2	3	3	salmonella	chow	4_2_3	4_2_3_3	NA
4_4_1_3_M	4	4	1	3	salmonella	chow	4_4_1	4_4_1_3	NA
4_1_4_4_M	4	1	4	4	salmonella	chow	4_1_4	4_1_4_4	NA
4_3_2_4_M	4	3	2	4	salmonella	chow	4_3_2	4_3_2_4	NA
4_4_5_4_M	4	4	5	4	salmonella	chow	4_4_5	4_4_5_4	NA
4_2_3_5_M	4	2	3	5	salmonella	chow	4_2_3	4_2_3_5	NA
4_4_1_5_M	4	4	1	5	salmonella	chow	4_4_1	4_4_1_5	NA
4_2_3_6_M	4	2	3	6	salmonella	chow	4_2_3	4_2_3_6	NA
4_4_1_6_M	4	4	1	6	salmonella	chow	4_4_1	4_4_1_6	NA
4_1_4_7_M	4	1	4	7	salmonella	chow	4_1_4	4_1_4_7	NA
4_3_2_7_M	4	3	2	7	salmonella	chow	4_3_2	4_3_2_7	NA
4_1_1_3_M	4	1	1	3	salmonella	chow	4_1_1	4_1_1_3	NA
4_2_4_3_M	4	2	4	3	salmonella	chow	4_2_4	4_2_4_3	NA
4_4_2_3_M	4	4	2	3	salmonella	chow	4_4_2	4_4_2_3	NA
4_1_5_4_M	4	1	5	4	salmonella	chow	4_1_5	4_1_5_4	NA
4_3_3_4_M	4	3	3	4	salmonella	chow	4_3_3	4_3_3_4	NA
4_1_1_5_M	4	1	1	5	salmonella	chow	4_1_1	4_1_1_5	NA
4_2_4_5_M	4	2	4	5	salmonella	chow	4_2_4	4_2_4_5	NA
4_1_1_6_M	4	1	1	6	salmonella	chow	4_1_1	4_1_1_6	NA
4_2_4_6_M	4	2	4	6	salmonella	chow	4_2_4	4_2_4_6	NA
4_4_2_6_M	4	4	2	6	salmonella	chow	4_4_2	4_4_2_6	NA
4_1_5_7_M	4	1	5	7	salmonella	chow	4_1_5	4_1_5_7	NA
4_3_3_7_M	4	3	3	7	salmonella	chow	4_3_3	4_3_3_7	NA
4_1_2_3_M	4	1	2	3	salmonella	chow	4_1_2	4_1_2_3	NA
4_2_5_3_M	4	2	5	3	salmonella	chow	4_2_5	4_2_5_3	NA
4_4_3_3_M	4	4	3	3	salmonella	chow	4_4_3	4_4_3_3	NA
4_2_1_4_M	4	2	1	4	salmonella	chow	4_2_1	4_2_1_4	NA
4_3_4_4_M	4	3	4	4	salmonella	chow	4_3_4	4_3_4_4	NA
4_1_2_5_M	4	1	2	5	salmonella	chow	4_1_2	4_1_2_5	NA
4_2_5_5_M	4	2	5	5	salmonella	chow	4_2_5	4_2_5_5	NA
4_1_2_6_M	4	1	2	6	salmonella	chow	4_1_2	4_1_2_6	NA
4_2_5_6_M	4	2	5	6	salmonella	chow	4_2_5	4_2_5_6	NA
4_4_3_6_M	4	4	3	6	salmonella	chow	4_4_3	4_4_3_6	NA
4_2_1_7_M	4	2	1	7	salmonella	chow	4_2_1	4_2_1_7	NA
4_1_3_3_M	4	1	3	3	salmonella	chow	4_1_3	4_1_3_3	NA
4_3_1_3_M	4	3	1	3	salmonella	chow	4_3_1	4_3_1_3	NA
4_4_4_3_M	4	4	4	3	salmonella	chow	4_4_4	4_4_4_3	NA
4_2_2_4_M	4	2	2	4	salmonella	chow	4_2_2	4_2_2_4	NA
4_3_5_4_M	4	3	5	4	salmonella	chow	4_3_5	4_3_5_4	NA
4_1_5_5_M	4	1	5	5	salmonella	chow	4_1_5	4_1_5_5	NA
4_3_1_5_M	4	3	1	5	salmonella	chow	4_3_1	4_3_1_5	NA
4_1_3_6_M	4	1	3	6	salmonella	chow	4_1_3	4_1_3_6	NA
4_3_1_6_M	4	3	1	6	salmonella	chow	4_3_1	4_3_1_6	NA
4_4_4_6_M	4	4	4	6	salmonella	chow	4_4_4	4_4_4_6	NA
4_2_2_7_M	4	2	2	7	salmonella	chow	4_2_2	4_2_2_7	NA
4_3_4_7_M	4	3	4	7	salmonella	chow	4_3_4	4_3_4_7	NA
4_3_5_7_M	4	3	5	7	salmonella	chow	4_3_5	4_3_5_7	NA
4_1_3_8_M	4	1	3	8	salmonella	chow	4_1_3	4_1_3_8	NA
4_3_1_8_M	4	3	1	8	salmonella	chow	4_3_1	4_3_1_8	NA
4_4_4_8_M	4	4	4	8	salmonella	chow	4_4_4	4_4_4_8	NA
4_2_2_9_M	4	2	2	9	salmonella	chow	4_2_2	4_2_2_9	NA
4_3_5_9_M	4	3	5	9	salmonella	chow	4_3_5	4_3_5_9	NA
4_1_3_10_M	4	1	3	10	salmonella	chow	4_1_3	4_1_3_10	NA
4_3_1_10_M	4	3	1	10	salmonella	chow	4_3_1	4_3_1_10	NA
4_4_4_10_M	4	4	4	10	salmonella	chow	4_4_4	4_4_4_10	NA
4_2_2_11_M	4	2	2	11	salmonella	chow	4_2_2	4_2_2_11	NA
4_3_5_11_M	4	3	5	11	salmonella	chow	4_3_5	4_3_5_11	NA
4_1_3_12_M	4	1	3	12	salmonella	chow	4_1_3	4_1_3_12	NA
4_4_1_7_M	4	4	1	7	salmonella	chow	4_4_1	4_4_1_7	NA
4_1_4_8_M	4	1	4	8	salmonella	chow	4_1_4	4_1_4_8	NA
4_3_2_8_M	4	3	2	8	salmonella	chow	4_3_2	4_3_2_8	NA
4_4_5_8_M	4	4	5	8	salmonella	chow	4_4_5	4_4_5_8	NA
4_2_3_9_M	4	2	3	9	salmonella	chow	4_2_3	4_2_3_9	NA
4_4_1_9_M	4	4	1	9	salmonella	chow	4_4_1	4_4_1_9	NA
4_1_4_10_M	4	1	4	10	salmonella	chow	4_1_4	4_1_4_10	NA
4_3_2_10_M	4	3	2	10	salmonella	chow	4_3_2	4_3_2_10	NA
4_4_5_10_M	4	4	5	10	salmonella	chow	4_4_5	4_4_5_10	NA
4_2_3_11_M	4	2	3	11	salmonella	chow	4_2_3	4_2_3_11	NA
4_4_1_11_M	4	4	1	11	salmonella	chow	4_4_1	4_4_1_11	NA
4_1_4_12_M	4	1	4	12	salmonella	chow	4_1_4	4_1_4_12	NA
4_4_2_7_M	4	4	2	7	salmonella	chow	4_4_2	4_4_2_7	NA
4_1_5_8_M	4	1	5	8	salmonella	chow	4_1_5	4_1_5_8	NA
4_3_3_8_M	4	3	3	8	salmonella	chow	4_3_3	4_3_3_8	NA
4_1_1_9_M	4	1	1	9	salmonella	chow	4_1_1	4_1_1_9	NA
4_2_4_9_M	4	2	4	9	salmonella	chow	4_2_4	4_2_4_9	NA
4_4_2_9_M	4	4	2	9	salmonella	chow	4_4_2	4_4_2_9	NA
4_1_5_10_M	4	1	5	10	salmonella	chow	4_1_5	4_1_5_10	NA
4_3_3_10_M	4	3	3	10	salmonella	chow	4_3_3	4_3_3_10	NA
4_1_1_11_M	4	1	1	11	salmonella	chow	4_1_1	4_1_1_11	NA
4_2_4_11_M	4	2	4	11	salmonella	chow	4_2_4	4_2_4_11	NA
4_4_2_11_M	4	4	2	11	salmonella	chow	4_4_2	4_4_2_11	NA
4_1_5_12_M	4	1	5	12	salmonella	chow	4_1_5	4_1_5_12	NA
4_4_3_7_M	4	4	3	7	salmonella	chow	4_4_3	4_4_3_7	NA
4_2_1_8_M	4	2	1	8	salmonella	chow	4_2_1	4_2_1_8	NA
4_3_4_8_M	4	3	4	8	salmonella	chow	4_3_4	4_3_4_8	NA
4_1_2_9_M	4	1	2	9	salmonella	chow	4_1_2	4_1_2_9	NA
4_2_5_9_M	4	2	5	9	salmonella	chow	4_2_5	4_2_5_9	NA
4_4_3_9_M	4	4	3	9	salmonella	chow	4_4_3	4_4_3_9	NA
4_2_1_10_M	4	2	1	10	salmonella	chow	4_2_1	4_2_1_10	NA
4_3_4_10_M	4	3	4	10	salmonella	chow	4_3_4	4_3_4_10	NA
4_1_2_11_M	4	1	2	11	salmonella	chow	4_1_2	4_1_2_11	NA
4_2_5_11_M	4	2	5	11	salmonella	chow	4_2_5	4_2_5_11	NA
4_4_3_11_M	4	4	3	11	salmonella	chow	4_4_3	4_4_3_11	NA
4_2_1_12_M	4	2	1	12	salmonella	chow	4_2_1	4_2_1_12	NA
4_4_4_7_M	4	4	4	7	salmonella	chow	4_4_4	4_4_4_7	NA
4_2_2_8_M	4	2	2	8	salmonella	chow	4_2_2	4_2_2_8	NA
4_3_5_8_M	4	3	5	8	salmonella	chow	4_3_5	4_3_5_8	NA
4_1_3_9_M	4	1	3	9	salmonella	chow	4_1_3	4_1_3_9	NA
